Name,Longitude ,Latitude
Henderson - Teen Parent Unit - He Wero o nga Wahine,174.628296,-36.883328
Amesbury School,174.802131,-41.199094
Rototuna Senior High School,175.261926,-37.715468
Murihiku Young Parents Learning Centre,168.378062,-46.406679
City Impact Church School (Secondary),174.721659,-36.722475
Sancta Maria Catholic Primary School,174.903914,-36.959994
Huanui College,174.361724,-35.668291
Silverstream Christian School,175.014552,-41.151279
Te Karaka Area School,177.866317,-38.469046
Chapman College,176.236392,-38.131569
TKKM o Tuia te Matangi,173.190246,-41.334764
Te Kura Maori o Nga Tapuwae,174.81709,-36.965266
Kia Aroha College,174.892768,-36.980854
Tai Wananga,175.305793,-37.775345
Kingsview School,168.727617,-45.017714
Pa Harakeke Teen Parent Unit,175.861545,-38.225976
Te Wharekura o Nga Purapura o Te Aroha,175.314306,-38.002938
Bathgate Park School,170.492258,-45.900329
Carisbrook School,170.484093,-45.895389
Te Whata Tau o Putauaki,176.706584,-38.083372
Rolleston College,172.388513,-43.603516
Kawerau Putauaki School,176.685504,-38.089843
Murupara Area School,176.703042,-38.455354
Kahurangi School,174.820902,-41.328369
Tarawera High School,176.709393,-38.087207
Nelson Teen Parent Unit,173.277873,-41.268127
Waikato Montessori Education Centre,175.340394,-37.827156
Levin Teen Parent Unit,175.296346,-40.629522
Eden Christian Academy,174.962851,-37.253571
Ao Tawhiti Unlimited Discovery,172.568057,-43.523017
Te Waka Unua School,172.672639,-43.54567
Waitakiri Primary School,172.683844,-43.488844
Lyttelton Primary School,172.723168,-43.602344
Ormiston Primary School,174.919785,-36.967628
South Auckland Middle School,174.883981,-37.040121
Te Kura Hourua o Whangarei Terenga Paraoa,174.330369,-35.727611
The Rise Up Academy,174.835827,-36.959286
Vanguard Military School,174.698733,-36.751726
Seven Oaks Secondary School,172.655309,-43.550917
Rawhiti School,172.717708,-43.496105
Haeata Community Campus,172.69638,-43.516625
Te Tipu Whenua o Pa Harakeke,176.788894,-39.621849
Te Pa o Rakaihautu,172.672461,-43.52931
ACG Tauranga,176.115652,-37.771596
Rototuna Junior High School,175.263098,-37.715529
Ormiston Junior College,174.919678,-36.967849
Rolleston Christian School,172.392912,-43.608323
Middle School West Auckland,174.646114,-36.886604
Pacific Advance Senior School,174.844396,-36.941856
Te Kapehu Whetu - Teina,174.3131,-35.734183
Te Kura Maori o Waatea,174.801662,-36.96096
Whakatane Teen Parent Unit,176.93628,-37.942697
Te Kura Kaupapa Maori o Te Orini ki Ngati Awa,176.941011,-37.930208
Meraki Montessori School,174.660048,-36.603609
Northland College Teen Parent Unit,173.808074,-35.412956
Porangahau School,176.617012,-40.303781
Te Kura Kaupapa Maori o Horouta Wananga,178.006862,-38.657548
St Francis of Assisi Catholic School,172.639393,-43.499792
Manukura,175.629464,-40.372515
Te Kura o Te Whanau-a-Apanui,177.634278,-37.814797
Holy Trinity Catholic Primary School,174.940735,-37.036334
Iqra Elementary,174.749854,-36.91274
Te Aratika Academy,176.892968,-39.616959
Te Kopuku High,175.234782,-37.75586
Summit Point School,174.762704,-36.79126
The Deep Green Bush School,174.639951,-36.914989
Waiheke Island Steiner School,175.022291,-36.792387
Ahipara School,173.153602,-35.171776
Aranga School,173.613785,-35.738759
Arapohue School,173.94475,-36.007772
Awanui School,173.254099,-35.03969
Blomfield Special School and Resource Ctre,174.314314,-35.730665
Dargaville Intermediate,173.865466,-35.933508
Dargaville Primary School,173.86688,-35.939306
Glenbervie School,174.347871,-35.675883
Herekino School,173.21125,-35.263626
Hikurangi School,174.28727,-35.596131
Hora Hora School (Te Mai),174.308142,-35.736034
Horeke School,173.579691,-35.360102
Hukerenui School Years 1-8,174.196639,-35.520589
Hurupaki School,174.289271,-35.687424
Kaeo School,173.788171,-35.100818
Kaihu Valley School,173.738754,-35.799333
Kaikohe East School,173.806377,-35.40926
Kaikohe Intermediate,173.796979,-35.406625
Kaikohe West School,173.79174,-35.407063
Kaingaroa School (Kaitaia),173.330694,-35.024674
Kaitaia Intermediate,173.2585,-35.104334
Kaitaia School,173.270974,-35.116436
Kaiwaka School,174.446412,-36.160033
Totara Grove School,174.315335,-35.679487
Kamo Intermediate,174.305611,-35.68798
Kamo School,174.29733,-35.683689
Karetu School,174.152407,-35.373792
Kaurihohore School,174.289051,-35.643104
Kawakawa Primary School,174.066193,-35.383222
Kerikeri Primary School,173.956451,-35.228342
Kohukohu School,173.544154,-35.359776
Kokopu School,174.139157,-35.707738
Mangamuka School,173.538868,-35.213724
Mangawhai Beach School,174.57708,-36.128844
Mangonui School,173.534412,-34.990484
Matakohe School,174.179918,-36.132836
Matarau School,174.222013,-35.657808
Matauri Bay School,173.896267,-35.043137
Matihetihe School,173.283651,-35.436425
Maungakaramea School,174.202609,-35.844114
Maungatapere School,174.205703,-35.755371
Maungaturoto School,174.352788,-36.109601
